,token,ocurrences
1960,gabou,"[[8, 1]]"
1961,ganhou,"[[8, 1], [20, 1], [45, 1], [50, 1], [51, 1], [57, 1], [58, 1], [69, 1], [115, 1], [120, 1], [145, 1], [151, 1], [154, 1], [165, 1], [166, 1], [168, 1], [181, 1], [187, 1], [191, 1], [193, 1], [197, 1], [200, 1], [204, 1], [207, 1], [208, 1], [243, 2]]"
1962,gente,"[[8, 2], [9, 2], [10, 1], [14, 1], [16, 1], [19, 1], [25, 8], [29, 1], [63, 4], [76, 1], [98, 1], [102, 1], [107, 1], [109, 1], [110, 1], [114, 2], [120, 2], [121, 1], [122, 1], [127, 1], [138, 1], [149, 1], [151, 1], [180, 2], [183, 1], [186, 1], [189, 2], [190, 2], [198, 1], [214, 4], [216, 3], [217, 7], [221, 4], [230, 4], [232, 1], [239, 5], [241, 1], [248, 3]]"
1963,gigante,"[[8, 1], [51, 1], [111, 1], [125, 2], [126, 1], [135, 3], [142, 1], [143, 2]]"
1964,governos,"[[8, 2], [15, 1], [17, 1], [24, 2], [26, 1], [29, 1], [34, 1], [42, 1], [63, 1], [88, 1], [89, 1], [95, 2], [106, 1], [119, 1], [125, 1], [129, 2], [132, 1], [150, 1], [151, 1], [153, 6], [165, 2], [166, 2], [167, 1], [168, 1], [172, 1], [188, 1], [210, 1], [221, 1], [224, 1], [247, 1], [248, 2]]"
1965,guatemala,"[[8, 1], [42, 1]]"
1966,hebraico,"[[8, 1], [42, 1], [105, 1], [160, 2]]"
1967,hesitação,"[[8, 1]]"
1968,hotel,"[[8, 1], [65, 2], [69, 1], [110, 1], [113, 1], [137, 1], [196, 1], [243, 1]]"
1969,hungria,"[[8, 1], [20, 1], [42, 1], [69, 1], [248, 1]]"
1970,húngaro,"[[8, 1], [42, 1], [173, 1]]"
1971,ibrahim,"[[8, 1]]"
1972,ignorar,"[[8, 1], [33, 1], [60, 2], [110, 1]]"
1973,igreja,"[[8, 1], [17, 6], [18, 1], [29, 1], [69, 4], [79, 4], [93, 1], [97, 3], [101, 1], [158, 1], [164, 6], [177, 3], [180, 1], [190, 1], [195, 1], [197, 3], [205, 1], [229, 1]]"
1974,incondicional,"[[8, 1], [36, 1], [193, 1]]"
1975,independentemente,"[[8, 1], [59, 1], [89, 1], [117, 1], [125, 1], [130, 1], [221, 1], [229, 1], [248, 1]]"
1976,indivisível,"[[8, 1]]"
1977,inovação,"[[8, 1], [32, 1], [42, 1], [111, 1], [186, 1], [216, 1]]"
1978,instalar,"[[8, 1], [65, 1], [87, 1], [211, 1]]"
1979,instalação,"[[8, 1], [60, 1], [97, 1], [137, 1], [151, 1], [216, 1], [239, 1]]"
1980,intensifica,"[[8, 1], [83, 1]]"
1981,intercâmbios,"[[8, 1]]"
1982,internacional,"[[8, 2], [10, 1], [23, 3], [24, 1], [26, 1], [29, 2], [34, 1], [55, 1], [60, 1], [63, 1], [69, 1], [70, 1], [88, 1], [97, 3], [101, 1], [105, 1], [106, 1], [117, 2], [120, 1], [125, 2], [139, 2], [144, 5], [150, 3], [163, 1], [171, 1], [175, 1], [190, 2], [203, 2], [205, 1], [224, 1], [243, 1], [245, 1], [247, 1], [248, 2], [249, 3]]"
1983,interpretou,"[[8, 1]]"
1984,investimentos,"[[8, 1], [22, 1], [24, 1], [26, 1], [27, 1], [32, 1], [37, 1], [42, 1], [98, 1], [111, 1], [115, 1], [127, 1], [136, 2], [138, 1], [155, 1], [220, 2], [242, 1], [243, 3]]"
1985,islâmico,"[[8, 1], [117, 1], [245, 1], [249, 7]]"
1986,israel,"[[8, 7], [42, 9], [77, 7], [94, 3], [101, 13], [105, 4], [111, 5], [151, 1], [172, 2], [174, 5], [222, 1], [238, 1], [246, 4]]"
1987,israelense,"[[8, 3], [42, 2], [77, 4], [94, 1], [101, 4], [105, 4], [111, 3], [246, 6]]"
1988,israelenses,"[[8, 1], [42, 2], [94, 2], [101, 1], [105, 1], [111, 1], [246, 5]]"
1989,italiano,"[[8, 1], [17, 1], [36, 1], [41, 2], [46, 1], [73, 2], [122, 5], [124, 1], [162, 1], [167, 1], [195, 1]]"
1990,jerusalém,"[[8, 8], [26, 1], [42, 7], [101, 2], [105, 4], [111, 7], [174, 1]]"
1991,judaico,"[[8, 1], [69, 1], [77, 1], [105, 1], [111, 1], [160, 1]]"
1992,judaísmo,"[[8, 1], [17, 1], [105, 1]]"
1993,juntos,"[[8, 1], [50, 1], [58, 1], [63, 1], [101, 1], [118, 1], [139, 2], [145, 1], [153, 2], [198, 1], [207, 1], [230, 1], [242, 1], [244, 1]]"
1994,lamentações,"[[8, 2], [105, 2], [111, 1]]"
1995,legação,"[[8, 1]]"
1996,legislativa,"[[8, 1], [112, 1], [117, 1], [151, 1], [207, 1], [225, 1]]"
1997,likud,"[[8, 1]]"
1998,limitou,"[[8, 1], [103, 1]]"
1999,logo,"[[8, 1], [25, 1], [32, 1], [38, 1], [50, 1], [51, 1], [63, 1], [65, 2], [71, 1], [74, 1], [86, 1], [102, 1], [107, 1], [129, 1], [157, 1], [158, 1], [160, 1], [169, 2], [184, 2], [193, 2], [194, 2], [198, 1], [200, 1], [202, 1], [206, 1], [214, 2], [223, 2], [224, 3], [229, 1], [235, 1]]"
2000,líderes,"[[8, 1], [23, 2], [44, 1], [63, 2], [68, 1], [69, 2], [84, 1], [90, 2], [93, 2], [105, 1], [113, 1], [151, 1], [165, 1], [169, 1], [173, 1], [202, 1], [210, 2], [213, 1], [247, 1]]"
2001,maio,"[[8, 2], [57, 1], [62, 1], [69, 1], [90, 3], [91, 3], [114, 1], [116, 1], [136, 1], [151, 1], [162, 4], [187, 1], [197, 1], [207, 1], [223, 2], [249, 1]]"
2002,mantêm,"[[8, 1], [30, 1], [84, 2], [147, 1], [186, 1]]"
2003,mario,"[[8, 1], [16, 1], [31, 1], [122, 1], [189, 1]]"
2004,matteo,"[[8, 1], [73, 1], [124, 1]]"
2005,membro,"[[8, 1], [11, 1], [14, 1], [25, 1], [41, 1], [65, 2], [69, 1], [91, 1], [104, 2], [150, 1], [189, 1], [207, 1], [239, 1]]"
2006,meses,"[[8, 1], [10, 1], [14, 1], [18, 1], [19, 3], [20, 1], [22, 3], [23, 1], [24, 1], [27, 1], [29, 1], [32, 1], [41, 2], [45, 1], [46, 2], [49, 1], [58, 4], [65, 1], [66, 1], [69, 3], [70, 2], [71, 1], [75, 1], [76, 1], [79, 1], [82, 1], [83, 1], [88, 1], [96, 1], [99, 1], [102, 1], [112, 1], [114, 1], [115, 2], [117, 1], [118, 1], [119, 2], [123, 2], [124, 2], [127, 2], [132, 2], [133, 1], [134, 1], [135, 1], [137, 1], [138, 4], [140, 1], [143, 2], [145, 1], [151, 1], [154, 2], [158, 2], [162, 2], [163, 1], [166, 2], [167, 1], [169, 2], [170, 1], [176, 1], [179, 1], [181, 1], [184, 1], [185, 1], [195, 3], [196, 2], [197, 1], [205, 1], [207, 1], [215, 2], [217, 3], [218, 2], [221, 2], [223, 3], [232, 3], [235, 1], [236, 1], [238, 1], [240, 1], [242, 1], [245, 1], [249, 4]]"
2007,missão,"[[8, 1], [30, 1], [42, 1], [60, 2], [99, 1], [115, 1], [124, 1], [140, 1], [158, 1], [160, 1], [161, 1], [190, 1], [209, 1], [241, 1]]"
2008,montante,"[[8, 1], [55, 1], [143, 2]]"
2009,muro,"[[8, 2], [65, 1], [81, 3], [104, 1], [105, 4], [111, 1], [132, 1], [135, 2], [137, 1], [158, 1]]"
2010,muçulmanos,"[[8, 1], [29, 1], [117, 2], [194, 1], [249, 2]]"
2011,negócios,"[[8, 2], [19, 1], [26, 3], [65, 1], [86, 1], [99, 1], [101, 1], [111, 1], [117, 1], [126, 2], [130, 2], [133, 1], [134, 1], [141, 1], [143, 1], [197, 1]]"
2012,netanyahu,"[[8, 3], [42, 3], [77, 5], [105, 2], [111, 2], [246, 1]]"
2013,norte,"[[8, 1], [9, 2], [18, 1], [21, 1], [22, 1], [23, 1], [34, 4], [36, 1], [40, 3], [43, 1], [46, 1], [63, 1], [64, 9], [66, 2], [69, 6], [77, 1], [82, 2], [83, 2], [88, 1], [96, 1], [105, 2], [107, 6], [114, 1], [117, 1], [120, 1], [122, 1], [126, 1], [129, 3], [132, 2], [134, 1], [139, 1], [143, 1], [146, 1], [149, 1], [152, 5], [157, 1], [181, 1], [184, 1], [192, 1], [196, 1], [205, 1], [219, 3], [220, 3], [223, 2], [239, 1], [244, 2], [245, 3], [248, 1], [249, 2]]"
2014,nove,"[[8, 1], [22, 2], [27, 1], [44, 1], [47, 1], [49, 2], [57, 1], [58, 1], [61, 1], [74, 1], [93, 1], [117, 1], [121, 1], [125, 1], [130, 1], [137, 1], [139, 1], [147, 1], [177, 1], [195, 1], [196, 1], [217, 2], [223, 1], [242, 1], [243, 1], [244, 1]]"
2015,novidades,"[[8, 1], [121, 1], [124, 1]]"
2016,obrigado,"[[8, 1], [26, 1], [31, 1], [42, 2], [45, 1], [47, 1], [77, 1], [114, 1], [151, 1], [191, 1], [221, 1], [229, 1]]"
2017,obrigações,"[[8, 1], [40, 1], [69, 1], [89, 1], [152, 1], [165, 1], [228, 1], [249, 1]]"
2018,ocasião,"[[8, 1], [11, 1], [56, 1], [60, 1], [76, 1], [107, 1], [167, 1], [217, 1], [223, 1], [225, 1], [227, 1]]"
2019,ocde,"[[8, 1], [42, 1], [132, 6], [140, 1]]"
2020,ofender,"[[8, 2]]"
2021,oferecer,"[[8, 1], [111, 1], [123, 1], [125, 1], [128, 1], [130, 2], [166, 2], [210, 1]]"
2022,oficial,"[[8, 2], [13, 1], [16, 2], [19, 2], [23, 1], [40, 1], [42, 1], [47, 2], [50, 1], [63, 1], [65, 2], [70, 2], [77, 1], [83, 1], [90, 1], [101, 1], [105, 2], [111, 1], [115, 1], [124, 1], [140, 1], [146, 1], [150, 1], [151, 2], [164, 1], [166, 1], [172, 1], [175, 1], [176, 1], [197, 2], [207, 4], [208, 1], [223, 1], [224, 1], [228, 3], [229, 4], [241, 1], [247, 1]]"
2023,ora,"[[8, 1], [101, 1], [173, 1], [206, 1]]"
2024,orbán,"[[8, 1], [69, 3], [248, 1]]"
2025,ordenou,"[[8, 1], [63, 1], [106, 1], [134, 1], [151, 2], [184, 1], [194, 1], [206, 1]]"
2026,oriental,"[[8, 2], [32, 1], [105, 1], [111, 2], [249, 1]]"
2027,palestina,"[[8, 3], [42, 1], [94, 2], [105, 1], [111, 1]]"
2028,palestino,"[[8, 1], [94, 1], [105, 2], [246, 1]]"
2029,palestinos,"[[8, 3], [94, 2], [101, 2], [105, 2], [174, 1]]"
2030,paraguai,"[[8, 1], [10, 3], [93, 7], [146, 1], [224, 1]]"
2031,passos,"[[8, 2], [24, 1], [42, 1], [65, 2], [90, 1], [108, 2], [132, 1], [158, 1], [188, 1], [191, 1], [199, 1], [210, 1], [213, 1], [243, 1], [244, 1]]"
2032,paz,"[[8, 1], [15, 1], [45, 1], [63, 15], [105, 1], [107, 2], [117, 1], [150, 1], [154, 1], [174, 5], [218, 1], [225, 1], [238, 1], [249, 1]]"
2033,países,"[[8, 5], [10, 2], [20, 2], [23, 2], [24, 2], [26, 1], [28, 1], [29, 3], [32, 6], [33, 1], [34, 2], [36, 1], [42, 2], [60, 1], [69, 3], [70, 1], [75, 1], [83, 1], [86, 1], [90, 1], [92, 1], [98, 1], [101, 1], [105, 1], [106, 1], [108, 6], [119, 1], [121, 1], [123, 7], [125, 1], [129, 3], [130, 1], [132, 2], [133, 1], [137, 2], [140, 3], [143, 3], [144, 3], [152, 1], [157, 1], [161, 1], [163, 1], [165, 1], [166, 3], [178, 1], [179, 1], [180, 1], [188, 6], [201, 1], [203, 3], [208, 3], [210, 2], [223, 1], [224, 4], [234, 1], [239, 1], [245, 2], [247, 1], [248, 1], [249, 3]]"
2034,pecuaristas,"[[8, 1]]"
2035,planalto,"[[8, 1], [19, 1], [21, 1], [42, 1], [120, 1], [139, 1], [149, 1], [151, 3], [168, 1], [172, 2], [204, 1], [205, 2], [207, 1], [210, 1], [220, 1], [225, 2], [228, 1], [229, 5]]"
2036,poderosos,"[[8, 1], [9, 1], [15, 1], [113, 1], [131, 1], [188, 1], [204, 1]]"
2037,posse,"[[8, 2], [22, 5], [24, 1], [26, 1], [37, 1], [74, 1], [88, 1], [95, 1], [101, 1], [115, 1], [217, 1]]"
2038,preceitos,"[[8, 1], [249, 1]]"
2039,presidencial,"[[8, 1], [22, 1], [66, 1], [81, 1], [86, 1], [88, 3], [124, 1], [162, 2], [166, 1], [204, 1], [205, 1], [210, 1], [235, 1], [247, 1]]"
2040,promessa,"[[8, 1], [22, 1], [42, 1], [45, 1], [47, 1], [63, 3], [99, 1], [235, 1], [237, 1]]"
2041,prometida,"[[8, 1], [65, 1], [107, 1]]"
2042,promover,"[[8, 1], [26, 1], [30, 1], [102, 1], [110, 1], [124, 2], [126, 1], [144, 1], [155, 1], [164, 1], [201, 1], [210, 1], [211, 1], [239, 1]]"
2043,propensos,"[[8, 1], [123, 1]]"
2044,quer,"[[8, 2], [14, 2], [17, 1], [25, 1], [37, 1], [57, 2], [60, 1], [63, 1], [69, 1], [75, 1], [99, 1], [103, 2], [105, 1], [108, 1], [136, 2], [150, 1], [159, 1], [164, 1], [166, 2], [172, 1], [173, 1], [182, 2], [185, 1], [189, 2], [193, 3], [205, 2], [208, 1], [215, 1], [218, 1], [221, 1], [222, 2], [229, 1], [235, 1], [238, 1], [248, 1], [249, 1]]"
2045,queremos,"[[8, 2], [16, 1], [26, 1], [42, 1], [43, 1], [69, 1], [153, 1], [157, 3], [173, 1], [213, 1], [249, 1]]"
2046,questionavam,"[[8, 1], [115, 1]]"
2047,reabertura,"[[8, 1], [41, 1]]"
2048,reais,"[[8, 1], [13, 1], [14, 1], [16, 2], [18, 1], [19, 1], [22, 7], [27, 2], [28, 4], [29, 1], [30, 2], [36, 1], [37, 1], [39, 4], [40, 1], [41, 2], [43, 1], [46, 1], [47, 7], [55, 1], [69, 1], [76, 8], [78, 1], [86, 1], [99, 1], [106, 1], [109, 1], [111, 1], [115, 3], [118, 5], [123, 2], [124, 2], [126, 1], [128, 3], [130, 2], [131, 3], [133, 1], [135, 5], [136, 5], [138, 1], [139, 7], [140, 2], [142, 9], [143, 1], [144, 2], [145, 2], [151, 2], [154, 1], [162, 2], [163, 1], [178, 2], [181, 1], [184, 1], [185, 1], [189, 1], [191, 2], [197, 1], [198, 1], [206, 2], [207, 22], [211, 1], [215, 3], [218, 2], [219, 2], [220, 6], [221, 3], [232, 1], [237, 3], [240, 6], [243, 10]]"
2049,recebe,"[[8, 1], [42, 1], [45, 1], [99, 1], [100, 1], [109, 1], [130, 2], [188, 1], [239, 1]]"
2050,recentemente,"[[8, 1], [13, 1], [31, 1], [47, 1], [75, 1], [99, 1], [120, 1], [123, 1], [125, 1], [150, 1], [161, 1], [163, 1], [165, 1], [213, 1], [239, 1]]"
2051,reclamar,"[[8, 1]]"
2052,referia,"[[8, 1], [91, 1], [112, 1], [160, 1], [164, 1], [240, 1]]"
2053,reiterou,"[[8, 1], [111, 1], [134, 1], [218, 1]]"
2054,religiosos,"[[8, 1], [93, 1], [173, 2]]"
2055,representações,"[[8, 1], [229, 1]]"
2056,república,"[[8, 1], [19, 3], [20, 1], [25, 1], [42, 1], [45, 1], [55, 1], [63, 1], [86, 1], [100, 1], [107, 1], [151, 3], [162, 3], [165, 2], [166, 1], [171, 3], [173, 2], [174, 1], [179, 1], [206, 1], [207, 2], [208, 1], [215, 1], [219, 1], [222, 1], [223, 1], [225, 1], [229, 1]]"
2057,resoluções,"[[8, 1], [29, 1], [90, 1], [101, 1]]"
2058,respaldou,"[[8, 1]]"
2059,respeitar,"[[8, 1], [15, 1], [19, 1], [99, 1], [117, 1], [166, 1], [217, 1], [228, 1]]"
2060,respeitem,"[[8, 2], [153, 2]]"
2061,romênia,"[[8, 1]]"
2062,sagrado,"[[8, 1], [105, 1], [164, 2], [182, 1], [210, 1]]"
2063,salvini,"[[8, 1], [69, 15], [73, 2]]"
2064,santa,"[[8, 2], [76, 1], [79, 2], [101, 1], [107, 1], [111, 1], [120, 1], [164, 1], [195, 1], [212, 1], [219, 1]]"
2065,santo,"[[8, 1], [60, 2], [61, 1], [105, 1], [183, 1], [195, 5], [198, 1], [226, 2], [239, 1]]"
2066,sede,"[[8, 1], [15, 1], [34, 1], [39, 1], [40, 1], [42, 1], [63, 1], [84, 3], [95, 1], [102, 1], [108, 1], [111, 1], [118, 1], [126, 1], [130, 1], [132, 1], [135, 2], [139, 1], [162, 1], [204, 2], [205, 1], [217, 2], [225, 1], [246, 1]]"
2067,seguindo,"[[8, 1], [13, 1], [42, 1], [65, 1], [124, 1], [152, 1], [226, 1], [249, 1]]"
2068,seguiu,"[[8, 1], [25, 1], [29, 1], [55, 1], [95, 1], [138, 1], [216, 1], [235, 1], [238, 1], [244, 1], [249, 1]]"
2069,sepulcro,"[[8, 1], [105, 1]]"
2070,soberano,"[[8, 1]]"
2071,somente,"[[8, 1], [13, 1], [15, 2], [33, 1], [47, 3], [54, 1], [56, 1], [92, 1], [115, 1], [124, 2], [158, 1], [160, 2], [164, 1], [166, 1], [171, 1], [194, 1], [198, 2], [222, 1], [224, 1], [225, 1], [228, 1], [239, 1], [242, 1], [243, 1]]"
2072,status,"[[8, 1], [11, 1], [42, 2], [45, 1], [65, 1], [73, 1], [115, 1], [146, 1], [168, 1], [173, 1]]"
2073,submete,"[[8, 1]]"
2074,tecnologia,"[[8, 2], [21, 1], [23, 1], [42, 5], [69, 1], [101, 2], [108, 1], [110, 1], [111, 1], [130, 1], [135, 2], [141, 1], [144, 1], [153, 1], [211, 7]]"
2075,tel,"[[8, 2], [26, 1], [42, 3], [77, 1], [94, 1], [105, 1], [246, 1]]"
2076,tomou,"[[8, 1], [19, 1], [53, 1], [65, 1], [76, 1], [112, 1], [146, 1], [217, 1], [244, 1]]"
2077,tradições,"[[8, 1], [60, 1]]"
2078,transferência,"[[8, 4], [21, 1], [47, 1], [55, 1], [207, 2], [237, 1]]"
2079,traremos,"[[8, 1]]"
2080,trump,"[[8, 2], [9, 1], [18, 1], [23, 2], [34, 2], [64, 5], [66, 11], [69, 17], [77, 7], [81, 3], [83, 3], [86, 1], [89, 3], [103, 1], [105, 2], [106, 1], [132, 1], [145, 2], [152, 2], [165, 1], [166, 2], [211, 2], [230, 1], [246, 1], [248, 1]]"
2081,turno,"[[8, 1], [22, 1], [49, 1], [69, 1], [76, 1], [86, 4], [95, 2], [96, 3], [113, 2], [235, 1], [237, 2]]"
2082,viagem,"[[8, 1], [13, 1], [16, 2], [23, 1], [26, 1], [42, 1], [69, 1], [77, 1], [84, 1], [89, 1], [94, 1], [101, 1], [105, 2], [106, 1], [108, 1], [111, 1], [137, 1], [174, 1], [188, 1], [194, 1], [199, 1], [201, 1], [222, 1], [249, 4]]"
2083,viktor,"[[8, 1], [23, 1], [86, 1], [248, 1]]"
2084,violações,"[[8, 1], [33, 1], [43, 1], [101, 1], [165, 1], [166, 1], [185, 1], [208, 1], [218, 1]]"
2085,visita,"[[8, 2], [32, 1], [42, 2], [75, 1], [77, 2], [93, 2], [101, 1], [105, 2], [108, 1], [111, 2], [115, 1], [120, 1], [166, 2], [172, 1], [173, 2], [174, 1], [216, 3], [217, 1], [238, 1], [246, 1]]"
2086,visitar,"[[8, 2], [26, 1], [42, 1], [75, 1], [105, 4], [111, 2], [195, 1], [217, 1]]"
2087,árabe,"[[8, 1], [249, 5]]"
2088,último,"[[8, 1], [9, 1], [10, 1], [22, 2], [26, 1], [29, 1], [39, 1], [40, 1], [41, 3], [45, 1], [47, 1], [60, 1], [62, 1], [73, 1], [80, 1], [90, 1], [96, 1], [98, 1], [100, 1], [102, 1], [107, 1], [111, 1], [116, 2], [120, 1], [121, 1], [122, 1], [127, 3], [129, 2], [133, 1], [135, 2], [139, 1], [140, 2], [151, 1], [152, 1], [165, 1], [169, 1], [183, 1], [184, 1], [187, 1], [193, 1], [195, 1], [196, 1], [198, 1], [204, 1], [205, 1], [211, 1], [217, 5], [229, 1], [233, 1], [238, 1], [243, 1], [244, 1], [245, 2], [249, 7]]"
2089,abjetos,"[[9, 1]]"
2090,acreditem,"[[9, 1]]"
2091,adequadas,"[[9, 1], [69, 2], [144, 1]]"
2092,admiradores,"[[9, 1], [166, 1], [184, 1]]"
2093,admiráveis,"[[9, 1], [182, 1]]"
2094,advogados,"[[9, 1], [39, 1], [41, 1], [69, 1], [131, 1], [162, 3], [191, 1], [202, 1], [206, 1], [226, 1], [241, 1]]"
2095,agradar,"[[9, 1]]"
2096,agrado,"[[9, 1]]"
2097,aliviava,"[[9, 1]]"
2098,altura,"[[9, 1], [46, 2], [71, 1], [109, 1], [132, 1], [137, 7], [138, 1], [184, 1], [189, 1], [191, 1]]"
2099,aparente,"[[9, 1], [80, 2], [225, 1]]"
2100,asilo,"[[9, 1], [14, 1], [30, 1], [65, 1], [73, 1], [117, 1]]"
2101,asno,"[[9, 1]]"
2102,assimilar,"[[9, 1]]"
2103,assistir,"[[9, 1], [56, 1], [108, 1], [112, 1], [115, 1], [149, 1], [165, 1], [166, 1], [173, 1], [178, 1], [197, 1]]"
2104,bairro,"[[9, 1], [13, 2], [56, 1], [65, 1], [108, 2], [110, 1], [112, 1], [135, 2], [137, 1], [158, 1], [249, 1]]"
2105,batismo,"[[9, 1]]"
2106,beleza,"[[9, 1], [11, 2], [14, 1], [87, 1], [182, 2], [193, 1]]"
2107,bem,"[[9, 1], [14, 1], [16, 1], [19, 1], [20, 1], [21, 1], [25, 2], [30, 1], [31, 1], [32, 1], [34, 1], [36, 1], [37, 2], [42, 2], [45, 1], [47, 1], [51, 1], [54, 1], [55, 1], [58, 7], [60, 1], [63, 5], [64, 1], [69, 1], [78, 2], [80, 2], [82, 1], [87, 1], [90, 1], [92, 2], [93, 1], [96, 1], [101, 1], [102, 2], [103, 1], [108, 2], [109, 1], [112, 1], [121, 1], [122, 1], [124, 1], [125, 1], [126, 1], [127, 1], [128, 3], [129, 1], [139, 1], [151, 1], [152, 1], [153, 3], [154, 2], [158, 3], [164, 1], [165, 1], [166, 5], [171, 1], [172, 2], [177, 1], [178, 1], [179, 1], [181, 1], [184, 4], [188, 1], [189, 2], [191, 1], [196, 2], [197, 1], [198, 6], [199, 1], [201, 1], [202, 1], [205, 1], [208, 1], [210, 2], [211, 2], [212, 1], [214, 1], [216, 2], [217, 1], [230, 1], [240, 1], [241, 1], [243, 1], [248, 5], [249, 2]]"
2108,biógrafo,"[[9, 1]]"
2109,boa,"[[9, 1], [11, 1], [23, 2], [30, 2], [32, 1], [35, 1], [38, 1], [48, 1], [55, 1], [56, 1], [63, 2], [65, 1], [73, 1], [76, 2], [78, 1], [92, 1], [99, 1], [101, 1], [107, 1], [115, 1], [128, 1], [135, 2], [140, 1], [152, 1], [153, 1], [155, 2], [159, 1], [190, 1], [193, 1], [203, 2], [211, 3], [213, 1], [220, 1], [223, 1], [225, 1], [228, 1], [236, 1], [238, 2], [240, 3], [249, 1]]"
2110,bons,"[[9, 1], [189, 1], [198, 1], [221, 1], [249, 1]]"
2111,bowen,"[[9, 5]]"
2112,camden,"[[9, 1]]"
2113,capaz,"[[9, 1], [19, 1], [20, 1], [29, 1], [33, 1], [41, 1], [60, 1], [71, 1], [92, 1], [109, 1], [119, 1], [130, 1], [137, 1], [143, 1], [145, 1], [147, 1], [154, 3], [163, 2], [164, 1], [168, 1], [172, 1], [177, 2], [180, 1], [196, 1], [205, 2], [208, 1], [211, 1], [213, 1], [225, 2]]"
2114,capazes,"[[9, 1], [89, 1], [102, 1], [115, 1], [130, 1], [151, 2], [156, 1], [166, 4], [174, 1], [197, 1]]"
2115,carinho,"[[9, 1], [58, 1], [158, 1], [180, 1], [184, 1], [193, 1]]"
2116,cartas,"[[9, 2], [16, 1], [103, 1], [129, 1], [195, 2], [198, 1], [220, 1]]"
2117,catherine,"[[9, 3]]"
2118,cheio,"[[9, 1], [12, 1], [121, 1], [158, 1], [248, 1], [249, 1]]"
2119,chiswick,"[[9, 1]]"
2120,claro,"[[9, 1], [10, 1], [14, 2], [19, 1], [21, 2], [23, 1], [25, 1], [26, 1], [34, 2], [36, 2], [63, 4], [78, 2], [82, 1], [84, 1], [86, 1], [93, 1], [95, 1], [102, 1], [103, 1], [107, 2], [108, 1], [109, 1], [113, 1], [125, 1], [144, 1], [151, 3], [152, 1], [153, 1], [157, 2], [158, 1], [165, 1], [172, 1], [181, 1], [185, 1], [189, 1], [194, 1], [198, 2], [199, 1], [203, 1], [216, 1], [219, 1], [225, 1], [240, 3], [241, 1], [243, 1], [248, 2]]"
2121,cometeu,"[[9, 1], [52, 1], [66, 1], [150, 1], [151, 1], [166, 1], [208, 1], [223, 1]]"
2122,comissariado,"[[9, 1], [65, 1]]"
2123,compartilhava,"[[9, 1], [11, 1]]"
2124,comportamento,"[[9, 1], [11, 1], [28, 1], [141, 1], [147, 5], [153, 1], [211, 2], [223, 1], [225, 1], [240, 1]]"
2125,conexões,"[[9, 1], [12, 1], [60, 1], [243, 1]]"
2126,conhece,"[[9, 1], [13, 1], [25, 1], [41, 1], [57, 1], [166, 1], [238, 1], [243, 1]]"
2127,conhecido,"[[9, 1], [14, 2], [17, 1], [26, 1], [47, 1], [50, 1], [55, 1], [56, 1], [86, 1], [93, 1], [104, 1], [110, 1], [112, 1], [114, 2], [123, 1], [151, 1], [177, 1], [197, 1], [198, 1], [210, 1], [216, 1], [244, 1], [249, 1]]"
2128,conjugal,"[[9, 1], [10, 1]]"
2129,connolly,"[[9, 1]]"
2130,conseguido,"[[9, 1], [42, 1], [63, 1], [65, 1], [69, 1], [81, 1], [109, 1], [177, 1], [184, 1], [243, 1]]"
2131,contar,"[[9, 1], [14, 1], [16, 1], [34, 2], [65, 1], [109, 1], [111, 1], [146, 1], [149, 1], [150, 1], [151, 1], [164, 1], [176, 1], [180, 1], [185, 1], [186, 1], [190, 1], [199, 1], [201, 1], [210, 1], [230, 1]]"
2132,contemporâneos,"[[9, 1], [11, 1], [163, 1], [178, 1]]"
2133,convenceu,"[[9, 1], [107, 1], [198, 1]]"
2134,cook,"[[9, 4], [113, 1]]"
2135,criado,"[[9, 1], [30, 1], [34, 1], [57, 1], [79, 1], [80, 1], [95, 1], [99, 1], [153, 1], [174, 1], [197, 1], [205, 1], [229, 1]]"
2136,crueldade,"[[9, 1], [146, 1], [156, 1]]"
2137,cruéis,"[[9, 1], [17, 1], [87, 1], [117, 1]]"
2138,crítico,"[[9, 1], [12, 1], [13, 6], [88, 1], [93, 1], [120, 1], [130, 1], [166, 2]]"
2139,cujas,"[[9, 1], [14, 1], [52, 1], [60, 1], [111, 1], [132, 1]]"
2140,culpa,"[[9, 1], [16, 1], [80, 1], [110, 1], [122, 3], [127, 1], [162, 1]]"
2141,culpadas,"[[9, 1]]"
2142,cumprir,"[[9, 1], [63, 1], [69, 4], [82, 1], [86, 1], [146, 1], [151, 1], [221, 2], [223, 1]]"
2143,céus,"[[9, 1], [137, 2]]"
2144,davam,"[[9, 1], [69, 1], [193, 1]]"
2145,decidissem,"[[9, 1]]"
2146,dedicar,"[[9, 1], [36, 1], [123, 1], [177, 1], [187, 1], [193, 1]]"
2147,deduziu,"[[9, 1]]"
2148,definitiva,"[[9, 1], [14, 1], [63, 2], [107, 1], [112, 1], [182, 1], [189, 1], [193, 1], [215, 1], [222, 1]]"
2149,demonstra,"[[9, 1], [18, 1], [39, 1], [60, 1], [76, 1], [84, 1]]"
2150,depoimentos,"[[9, 1], [114, 2], [162, 1], [189, 1], [230, 1]]"
2151,descobre,"[[9, 1], [249, 1]]"
2152,desejos,"[[9, 1], [154, 1], [222, 2]]"
2153,desfrutar,"[[9, 1], [87, 1]]"
